title,meaning
region,Регион
rajon,Район (в области или в городе)
fio,ФИО выдвиженца
f1,Всего подписей в подписных листах
f2,"Количество подписей, которые не подлежат проверке и учету"
f3,"Количество подписей, которые подлежат проверке и учету"
f4,Количество проверенных подписей
f5,Количество недостоверных подписей
f6,"Количество подписей, проверенных дополнительно"
f7,Количество недостоверных подписей по результатам дополнительной проверки
f8,Суммарное количество проверенных подписей
f9,Суммарное количество недостоверных подписей
f10,"Количество  подписей, которые не учитывались по районам, городам, районам в городах"
f11,Количество достоверных  подписей
